[Q, 0000111, Z]
[q, 01, Z]
[q, 0000011, Z]
[q, 000000111, Z]
δ[q, 00001111, Z]
δ[q, 00001111, Z]
δ[q, 00001111, XZ]
δ[q, 00001111, XXZ]
δ[q, 00001111, XXXZ]
δ[q, 00001111, XXXXZ]
δ[q, 0000011111, Z]
δ[q, 000011111, XZ]
δ[q, 00011111, XXZ]
δ[q, 0011111, XXXZ]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[p, 011, XZ]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[p, 011, XZ]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[p, 011, XZ]
δ[q, 000001, Z]
δ[q, 00001, XZ]
δ[q, 0001, XXZ]
δ[q, 001, XXXZ]
δ[q, 00001, Z]
δ[q, 0001, XZ]
δ[q, 001, XXZ]
δ[p, 00, XZ]
δ[q, 000111, Z]
δ[q, 000111, XZ]
δ[q, 000111, XXZ]
δ[q, 000111, XXXZ]
δ[p, 000111, XXZ]
δ[p, 000111, XZ]
δ[p, 000111, Z]
δ[q, 0001111, Z]
δ[q, 0001111, XZ]
δ[q, 0001111, XXZ]
δ[q, 0001111, XXXZ]
δ[p, 0001111, XXZ]
δ[p, 0001111, XZ]
δ[p, 0001111, Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 00111, XXZ]
δ[q, 00111, XXXZ]
δ[p, 00011, XXZ]
δ[p, 00011, XZ]
δ[p, 00011, Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 00111, XXZ]
δ[q, 00111, XXXZ]
δ[p, 00011, XXZ]
δ[p, 00011, XZ]
δ[p, 00011, Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 00111, XXZ]
δ[q, 00111, XXXZ]
δ[p, 00011, XXZ]
δ[p, 00011, XZ]
δ[p, 00011, Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[q, 0001111, Z]
δ[q, 001111, XZ]
δ[q, 01111, XXZ]
δ[q, 1111, XXXZ]
δ[p, 111, XXZ]
δ[p, 11, XZ]
δ[p, 1, Z]
δ[q, 00011, Z]
δ[q, 0011, XZ]
δ[q, 011, XXZ]
δ[q, 11, XXXZ]
δ[p, 1, XXZ]
δ[p, , XZ]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[q, 0001111, Z]
δ[q, 001111, XZ]
δ[q, 01111, XXZ]
δ[q, 1111, XXXZ]
δ[p, 111, XXZ]
δ[p, 11, XZ]
δ[p, 1, Z]
δ[q, 0001111, Z]
δ[q, 001111, XZ]
δ[q, 01111, XXZ]
δ[q, 1111, XXXZ]
δ[p, 111, XXZ]
δ[p, 11, XZ]
δ[p, 1, Z]
δ[q, 00001111, Z]
δ[q, 0001111, XZ]
δ[q, 001111, XXZ]
δ[q, 01111, XXXZ]
δ[q, 1111, XXXXZ]
δ[p, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[f, , Z]
δ[q, 0001111, Z]
δ[q, 001111, XZ]
δ[q, 01111, XXZ]
δ[q, 1111, XXXZ]
δ[p, 111, XXZ]
δ[p, 11, XZ]
δ[p, 1, Z]
δ[f, 1, Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[f, 1, XZ]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[f, , Z]
δ[q, 0001111, Z]
δ[q, 001111, XZ]
δ[q, 01111, XXZ]
δ[q, 1111, XXXZ]
δ[p, 111, XXZ]
δ[p, 11, XZ]
δ[p, 1, Z]
δ[q, 00011, Z]
δ[q, 0011, XZ]
δ[q, 011, XXZ]
δ[q, 11, XXXZ]
δ[p, 1, XXZ]
δ[p, , XZ]
δ[f, , XZ]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[f, , Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[f, , Z]
δ[q, 00011, Z]
δ[q, 0011, XZ]
δ[q, 011, XXZ]
δ[q, 11, XXXZ]
δ[p, 1, XXZ]
δ[p, , XZ]
δ[f, , XZ]
δ[q, 0001111, Z]
δ[q, 001111, XZ]
δ[q, 01111, XXZ]
δ[q, 1111, XXXZ]
δ[p, 111, XXZ]
δ[p, 11, XZ]
δ[p, 1, Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[f, , Z]
δ[q, 0001111, Z]
δ[q, 001111, XZ]
δ[q, 01111, XXZ]
δ[q, 1111, XXXZ]
δ[p, 111, XXZ]
δ[p, 11, XZ]
δ[p, 1, Z]
δ[q, 0001111, Z]
δ[q, 001111, XZ]
δ[q, 01111, XXZ]
δ[q, 1111, XXXZ]
δ[p, 111, XXZ]
δ[p, 11, XZ]
δ[p, 1, Z]
δ[q, 0001111, Z]
δ[q, 001111, XZ]
δ[q, 01111, XXZ]
δ[q, 1111, XXXZ]
δ[p, 111, XXZ]
δ[p, 11, XZ]
δ[p, 1, Z]
δ[q, 0001111, Z]
δ[q, 001111, XZ]
δ[q, 01111, XXZ]
δ[q, 1111, XXXZ]
δ[p, 111, XXZ]
δ[p, 11, XZ]
δ[p, 1, Z]
δ[f, 1, Z]
δ[q, 000111, Z]
δ[q, 00111, XZ]
δ[q, 0111, XXZ]
δ[q, 111, XXXZ]
δ[p, 11, XXZ]
δ[p, 1, XZ]
δ[p, , Z]
δ[f, , Z]
δ[q, 0001111, Z]
δ[q, 001111, XZ]
δ[q, 01111, XXZ]
δ[q, 1111, XXXZ]
δ[p, 111, XXZ]
δ[p, 11, XZ]
δ[p, 1, Z]
δ[f, 1, Z]
δ[q, 0000111, Z]
δ[q, 000011111, Z]
δ[q, 000111, Z]
δ[q, 0001111, Z]
δ[q, 000111, Z]
δ[q, 000111, Z]
δ[q, 00001111, Z]
δ[q, 000111, Z]
δ[q, 000111, Z]

δ[q, 00001111, Z]

δ[q, 000111, null]

δ[q, 000111, null]

δ[q, 000111, null]

δ[q, 000111, null]

δ[q, 000111, [Z]]

δ[q, 00111, [Z, X]]
δ[q, 0111, [Z, X, X]]
δ[q, 111, [Z, X, X, X]]
δ[p, 11, [Z, X, X]]
δ[p, 1, [Z, X]]
δ[p, , [Z]]
δ[f, , []]
δ[q, 000111, ]Z[[Z]]
δ[q, 00111, ]X ,Z[]Z[[Z][Z, X]]
δ[q, 0111, ]X ,X ,Z[]X ,Z[]Z[[Z][Z, X][Z, X, X]]
δ[q, 111, ]X ,X ,X ,Z[]X ,X ,Z[]X ,Z[]Z[[Z][Z, X][Z, X, X][Z, X, X, X]]
δ[p, 11, ]X ,X ,Z[]X ,X ,X ,Z[]X ,X ,Z[]X ,Z[]Z[[Z][Z, X][Z, X, X][Z, X, X, X][Z, X, X]]
δ[p, 1, ]X ,Z[]X ,X ,Z[]X ,X ,X ,Z[]X ,X ,Z[]X ,Z[]Z[[Z][Z, X][Z, X, X][Z, X, X, X][Z, X, X][Z, X]]
δ[p, , ]Z[]X ,Z[]X ,X ,Z[]X ,X ,X ,Z[]X ,X ,Z[]X ,Z[]Z[[Z][Z, X][Z, X, X][Z, X, X, X][Z, X, X][Z, X][Z]]
δ[f, , ][]Z[]X ,Z[]X ,X ,Z[]X ,X ,X ,Z[]X ,X ,Z[]X ,Z[]Z[[Z][Z, X][Z, X, X][Z, X, X, X][Z, X, X][Z, X][Z][]]

δ[q, 00001111, ]Z[[Z]]

δ[q, 000111, [Z]]

δ[q, 00111, [Z, X]]
δ[q, 0111, [Z, X, X]]
δ[q, 111, [Z, X, X, X]]
δ[p, 11, [Z, X, X]]
δ[p, 1, [Z, X]]
δ[p, , [Z]]
δ[f, , []]
δ[q, 0001111, [Z]]

δ[q, 001111, [Z, X]]
δ[q, 01111, [Z, X, X]]
δ[q, 1111, [Z, X, X, X]]
δ[p, 111, [Z, X, X]]
δ[p, 11, [Z, X]]
δ[p, 1, [Z]]
δ[q, 01, [Z]]

δ[q, 01, [Z]]
δ[q, 1, [Z, X]]

δ[p, , [Z]]

δ[f, , []]

δ[q, 000111, [Z]]

δ[q, 000111, [Z]]
δ[q, 000111, [Z]]
δ[q, 000111, [Z]]δ[q, 00111, ]X ,Z[]
δ[q, 0111, ]X ,X ,Z[]
δ[q, 111, ]X ,X ,X ,Z[]
δ[p, 11, ]X ,X ,Z[]
δ[p, 1, ]X ,Z[]
δ[p, , ]Z[]
δ[f, , ][]

δ[q, 00001111, [Z]]δ[q, 0001111, X ,Z]
δ[q, 001111, X ,X ,Z]
δ[q, 01111, X ,X ,X ,Z]
δ[q, 1111, X ,X ,X ,X ,Z]
δ[p, 111, X ,X ,X ,Z]
δ[p, 11, X ,X ,Z]
δ[p, 1, X ,Z]
δ[p, , Z]
δ[f, , ]

δ[q, 000111, [Z]]δ[q, 00111, X Z]
δ[q, 0111, X X Z]
δ[q, 111, X X X Z]
δ[p, 11, X X Z]
δ[p, 1, X Z]
δ[p, , Z]
δ[f, , ]

δ[q, 000111, [Z]]
δ[q, 00111, X Z]
δ[q, 0111, X X Z]
δ[q, 111, X X X Z]
δ[p, 11, X X Z]
δ[p, 1, X Z]
δ[p, , Z]
δ[f, , ]

δ[q, 000111, [Z]]
δ[q, 00111, X Z]
δ[q, 0111, X X Z]
δ[q, 111, X X X Z]
δ[p, 11, X X Z]
δ[p, 1, X Z]
δ[p, , Z]
δ[f, , ]

δ[q, 000111, [Z]]
δ[q, 00111, X Z]
δ[q, 0111, X X Z]
δ[q, 111, X X X Z]
δ[p, 11, X X Z]
δ[p, 1, X Z]
δ[p, , Z]
δ[f, , ]

δ[q, 000111, [Z]]
δ[q, 00111, X Z]
δ[q, 0111, X X Z]
δ[q, 111, X X X Z]
δ[p, 11, X X Z]
δ[p, 1, X Z]
δ[p, , Z]
δ[f, , Z]

δ[q, 0001111, [Z]]
δ[q, 001111, X Z]
δ[q, 01111, X X Z]
δ[q, 1111, X X X Z]
δ[p, 111, X X Z]
δ[p, 11, X Z]
δ[p, 1, Z]

δ[q, 00001111, [Z]]
δ[q, 0001111, X Z]
δ[q, 001111, X X Z]
δ[q, 01111, X X X Z]
δ[q, 1111, X X X X Z]
δ[p, 111, X X X Z]
δ[p, 11, X X Z]
δ[p, 1, X Z]
δ[p, , Z]
δ[f, , Z]

δ[q, 0000000011111111, [Z]]
δ[q, 000000011111111, X Z]
δ[q, 00000011111111, X X Z]
δ[q, 0000011111111, X X X Z]
δ[q, 000011111111, X X X X Z]
